ID,Title,charset,URL,Keywords
69,青岛大学关于自学考试助学的声明-青岛大学 Qingdao University,UTF-8-SIG,info/1209/13616.htm,"青岛大学 Qingdao University,通知公告"
70,青岛大学中外合作办学项目自评信息网上公示-青岛大学 Qingdao University,UTF-8-SIG,info/1209/13602.htm,"青岛大学 Qingdao University,通知公告"
71,青岛大学2017年大类招生专业类代码及所含专业说明-青岛大学 Qingdao University,UTF-8-SIG,info/1209/13580.htm,"青岛大学 Qingdao University,通知公告"
72,青岛大学2017年学校代码与专业代码填报说明-青岛大学 Qingdao University,UTF-8-SIG,info/1209/13579.htm,"青岛大学 Qingdao University,通知公告"
73,青岛大学本科招生声明-青岛大学 Qingdao University,UTF-8-SIG,info/1209/13576.htm,"青岛大学 Qingdao University,通知公告"
74,2017年青岛大学现场招生咨询会场次安排-青岛大学 Qingdao University,UTF-8-SIG,info/1209/13551.htm,"青岛大学 Qingdao University,通知公告"
75,青岛大学2017年本科综合评价招生初审名单公示-青岛大学本科招生网,UTF-8-SIG,http://zs.qdu.edu.cn/info/1142/1618.htm,"青岛大学,招生办公室,招生,就业,本科,高考,教育,考试,研究,学习"
76,青岛大学2017年本科招生章程-青岛大学 Qingdao University,UTF-8-SIG,info/1209/13367.htm,"青岛大学 Qingdao University,通知公告"
77,紧急通知：关于防范勒索软件病毒攻击的说明-青岛大学 Qingdao University,UTF-8-SIG,info/1209/13347.htm,"青岛大学 Qingdao University,通知公告"
78,青岛大学2017年本科综合评价招生简章-青岛大学 Qingdao University,UTF-8-SIG,info/1209/13244.htm,"青岛大学 Qingdao University,通知公告"
79,青岛大学关于开考强化实践能力培养考核课程的通知-青岛大学 Qingdao University,UTF-8-SIG,info/1209/13205.htm,"青岛大学 Qingdao University,通知公告"
80,青岛大学2017年音乐类专业招生简章（山东省外）-青岛大学 Qingdao University,UTF-8-SIG,info/1209/12933.htm,"青岛大学 Qingdao University,通知公告"
81,青岛大学2017年美术类专业招生简章（山东省外）-青岛大学 Qingdao University,UTF-8-SIG,info/1209/12932.htm,"青岛大学 Qingdao University,通知公告"
82,青岛大学2017年艺术类专业招生简章(山东省内)-青岛大学 Qingdao University,UTF-8-SIG,info/1209/12901.htm,"青岛大学 Qingdao University,通知公告"
83,青岛大学纺织服装学院诚聘海内外高层次人才及青年博士-青岛大学 Qingdao University,UTF-8-SIG,info/1209/12769.htm,"青岛大学 Qingdao University,通知公告"
84,青岛大学管理科学与工程博士后科研流动站2017年度招收简章-青岛大学 Qingdao University,UTF-8-SIG,info/1209/12736.htm,"青岛大学 Qingdao University,通知公告"
85,青岛大学系统科学博士后科研流动站博士后招收简章-青岛大学 Qingdao University,UTF-8-SIG,info/1209/12735.htm,"青岛大学 Qingdao University,通知公告"
